full_name,study_program,graduation_year,employer,role_title,location,linkedin_url
Oka Hakim,Teknologi Sains Data,2018,Tokopedia,Data Scientist,"Yogyakarta, Indonesia",https://www.linkedin.com/in/oka-hakim-0034
Eko Wijaya,Teknik Elektro,2018,Ericsson Indonesia,RF Engineer,"Semarang, Indonesia",https://www.linkedin.com/in/eko-wijaya-0035
Rizki Suryadi,Teknologi Sains Data,2022,Shopee Indonesia,Analytics Lead,"Yogyakarta, Indonesia",https://www.linkedin.com/in/rizki-suryadi-0036
Fajar Wahyudi,Teknik Nanoteknologi,2019,LIPI Indonesia,Nanotechnology Researcher,"Jakarta, Indonesia",https://www.linkedin.com/in/fajar-wahyudi-0037
Cindy Kurniawan,Teknik Nanoteknologi,2021,PT Semen Gresik,Materials Scientist,"Jakarta, Indonesia",https://www.linkedin.com/in/cindy-kurniawan-0038
Qori Prabowo,Teknik Industri,2018,PT Telekomunikasi Indonesia,Lean Consultant,"Surabaya, Indonesia",https://www.linkedin.com/in/qori-prabowo-0039
Putri Setiawan,Teknologi Sains Data,2022,IBM Indonesia,Data Analyst,Singapore,https://www.linkedin.com/in/putri-setiawan-0040
Lina Saputra,Teknik Nanoteknologi,2019,LIPI Indonesia,Semiconductor Engineer,"Sydney, Australia",https://www.linkedin.com/in/lina-saputra-0041
Gilang Wijaya,Teknik Robotika dan Kecerdasan Buatan,2024,Gojek AI Lab,Computer Vision Engineer,"Yogyakarta, Indonesia",https://www.linkedin.com/in/gilang-wijaya-0042
Kartika Wibowo,Teknik Nanoteknologi,2021,PT Bio Farma,Chemical Engineer,"Jakarta, Indonesia",https://www.linkedin.com/in/kartika-wibowo-0043
Kartika Hidayat,Teknik Industri,2021,PT Semen Indonesia,Logistics Manager,"Semarang, Indonesia",https://www.linkedin.com/in/kartika-hidayat-0044
Cindy Lestari,Teknik Robotika dan Kecerdasan Buatan,2023,PT Smart Manufacturing,AI Engineer,"Yogyakarta, Indonesia",https://www.linkedin.com/in/cindy-lestari-0045
Teguh Setiawan,Teknik Industri,2022,PT Pertamina,Business Analyst,"Jakarta, Indonesia",https://www.linkedin.com/in/teguh-setiawan-0046
Weni Purnomo,Teknik Industri,2018,Deloitte Indonesia,Lean Consultant,"Sydney, Australia",https://www.linkedin.com/in/weni-purnomo-0047
Indra Rahayu,Teknik Industri,2022,Unilever Indonesia,Supply Chain Analyst,"Surabaya, Indonesia",https://www.linkedin.com/in/indra-rahayu-0048
Nina Kusuma,Teknologi Sains Data,2021,Tokopedia,Business Intelligence Analyst,Singapore,https://www.linkedin.com/in/nina-kusuma-0049
Nina Wijaya,Teknik Robotika dan Kecerdasan Buatan,2018,ITS Robotics Lab,Perception Engineer,"Medan, Indonesia",https://www.linkedin.com/in/nina-wijaya-0050
Rafi Setiawan,Teknik Elektro,2019,PT PLN Persero,Power Systems Engineer,"Yogyakarta, Indonesia",https://www.linkedin.com/in/rafi-setiawan-0051
Rizki Prabowo,Teknik Elektro,2021,Huawei Indonesia,Power Systems Engineer,"Jakarta, Indonesia",https://www.linkedin.com/in/rizki-prabowo-0052
Elsa Yulianto,Teknik Robotika dan Kecerdasan Buatan,2018,Tokopedia Tech,Perception Engineer,"Yogyakarta, Indonesia",https://www.linkedin.com/in/elsa-yulianto-0053
Hendra Saputra,Teknologi Sains Data,2020,Tokopedia,Business Intelligence Analyst,"Medan, Indonesia",https://www.linkedin.com/in/hendra-saputra-0054
Teguh Rahayu,Teknik Nanoteknologi,2024,PT Aneka Tambang,R&D Scientist,Singapore,https://www.linkedin.com/in/teguh-rahayu-0055
Qori Hartono,Teknik Industri,2023,PT Krakatau Steel,Quality Engineer,"Jakarta, Indonesia",https://www.linkedin.com/in/qori-hartono-0056
Gilang Utama,Teknik Elektro,2018,Siemens Indonesia,Systems Architect,"Bandung, Indonesia",https://www.linkedin.com/in/gilang-utama-0057
Sari Nugroho,Teknik Robotika dan Kecerdasan Buatan,2019,PT Automation Indonesia,Automation Engineer,"Jakarta, Indonesia",https://www.linkedin.com/in/sari-nugroho-0058
Prita Saputra,Teknik Robotika dan Kecerdasan Buatan,2021,NVIDIA Indonesia,Robotics Engineer,"Surabaya, Indonesia",https://www.linkedin.com/in/prita-saputra-0059
Prita Wibowo,Teknik Elektro,2018,PT Schneider Electric,Network Engineer,"Bandung, Indonesia",https://www.linkedin.com/in/prita-wibowo-0060
Prita Saputra,Teknologi Sains Data,2023,IBM Indonesia,Principal Data Scientist,"Jakarta, Indonesia",https://www.linkedin.com/in/prita-saputra-0061
Cindy Gunawan,Teknik Industri,2018,Unilever Indonesia,Operations Manager,"Sydney, Australia",https://www.linkedin.com/in/cindy-gunawan-0062
Citra Kurniawan,Teknik Robotika dan Kecerdasan Buatan,2022,PT Robotik Indonesia,Simulation Engineer,"Bandung, Indonesia",https://www.linkedin.com/in/citra-kurniawan-0063
Citra Nugroho,Teknik Elektro,2024,PT Schneider Electric,Network Engineer,"Yogyakarta, Indonesia",https://www.linkedin.com/in/citra-nugroho-0064
Sinta Putra,Teknik Industri,2020,PT Krakatau Steel,Manufacturing Supervisor,Singapore,https://www.linkedin.com/in/sinta-putra-0065
Weni Utama,Teknologi Sains Data,2024,Shopee Indonesia,Data Analyst,Singapore,https://www.linkedin.com/in/weni-utama-0066
Budi Rahayu,Teknik Elektro,2024,Samsung Electronics Indonesia,RF Engineer,"Semarang, Indonesia",https://www.linkedin.com/in/budi-rahayu-0067
Kartika Wahyudi,Teknik Industri,2021,PT Astra International,Logistics Manager,"Yogyakarta, Indonesia",https://www.linkedin.com/in/kartika-wahyudi-0068
Muhamad Susanto,Teknik Elektro,2020,PT PLN Persero,RF Engineer,"Jakarta, Indonesia",https://www.linkedin.com/in/muhamad-susanto-0069
Rizki Setiawan,Teknik Nanoteknologi,2020,PT Pupuk Indonesia,Nanotechnology Researcher,"Semarang, Indonesia",https://www.linkedin.com/in/rizki-setiawan-0070
Xena Prabowo,Teknik Robotika dan Kecerdasan Buatan,2021,Telkom Indonesia Digital,Robotics Engineer,"Jakarta, Indonesia",https://www.linkedin.com/in/xena-prabowo-0071
Hana Saputra,Teknologi Sains Data,2022,Bukalapak,Data Scientist,"Surabaya, Indonesia",https://www.linkedin.com/in/hana-saputra-0072
Nina Wibowo,Teknik Elektro,2023,Huawei Indonesia,Automation Engineer,Singapore,https://www.linkedin.com/in/nina-wibowo-0073
Hendra Pratama,Teknik Nanoteknologi,2022,PT Bio Farma,R&D Scientist,"Jakarta, Indonesia",https://www.linkedin.com/in/hendra-pratama-0074
Ulfa Wibowo,Teknik Industri,2022,PT Krakatau Steel,Operations Manager,"Medan, Indonesia",https://www.linkedin.com/in/ulfa-wibowo-0075
Cindy Kusuma,Teknik Elektro,2022,Huawei Indonesia,Power Systems Engineer,"Jakarta, Indonesia",https://www.linkedin.com/in/cindy-kusuma-0076
Umar Hartono,Teknik Elektro,2023,PT Industri Listrik,Power Systems Engineer,"Surabaya, Indonesia",https://www.linkedin.com/in/umar-hartono-0077
Tono Nugroho,Teknik Robotika dan Kecerdasan Buatan,2019,Gojek AI Lab,AI Engineer,"Bandung, Indonesia",https://www.linkedin.com/in/tono-nugroho-0078
Zara Anggraeni,Teknologi Sains Data,2022,Accenture Indonesia,Data Engineer,Singapore,https://www.linkedin.com/in/zara-anggraeni-0079
Kevin Santoso,Teknik Elektro,2020,PT PLN Persero,RF Engineer,Singapore,https://www.linkedin.com/in/kevin-santoso-0080
Nina Prabowo,Teknik Elektro,2021,PT Industri Listrik,Automation Engineer,"Jakarta, Indonesia",https://www.linkedin.com/in/nina-prabowo-0081
Nadia Hartono,Teknik Nanoteknologi,2024,PT Kimia Farma,Nanotechnology Researcher,"Semarang, Indonesia",https://www.linkedin.com/in/nadia-hartono-0082
Hendra Anggraeni,Teknik Robotika dan Kecerdasan Buatan,2020,Tokopedia Tech,Automation Engineer,"Jakarta, Indonesia",https://www.linkedin.com/in/hendra-anggraeni-0083
Umar Putra,Teknologi Sains Data,2019,Gojek,Data Scientist,"Yogyakarta, Indonesia",https://www.linkedin.com/in/umar-putra-0084
Fajar Yulianto,Teknik Industri,2021,PT Telekomunikasi Indonesia,Project Manager,"Yogyakarta, Indonesia",https://www.linkedin.com/in/fajar-yulianto-0085
Ulfa Lestari,Teknik Nanoteknologi,2021,Bandung Institute of Technology,Quality Control Analyst,"Bandung, Indonesia",https://www.linkedin.com/in/ulfa-lestari-0086
Qori Lestari,Teknik Industri,2024,Unilever Indonesia,Manufacturing Supervisor,"Yogyakarta, Indonesia",https://www.linkedin.com/in/qori-lestari-0087
Lina Wahyudi,Teknik Robotika dan Kecerdasan Buatan,2021,Gojek AI Lab,Perception Engineer,"Yogyakarta, Indonesia",https://www.linkedin.com/in/lina-wahyudi-0088
Hana Susanto,Teknologi Sains Data,2024,IBM Indonesia,Principal Data Scientist,"Sydney, Australia",https://www.linkedin.com/in/hana-susanto-0089
Nina Purnomo,Teknik Nanoteknologi,2022,PT Aneka Tambang,Chemical Engineer,"Sydney, Australia",https://www.linkedin.com/in/nina-purnomo-0090
Dika Rahayu,Teknik Nanoteknologi,2021,PT Pupuk Indonesia,Materials Scientist,"Jakarta, Indonesia",https://www.linkedin.com/in/dika-rahayu-0091
Sari Agung,Teknik Robotika dan Kecerdasan Buatan,2021,Intel Indonesia,ROS Developer,"Kuala Lumpur, Malaysia",https://www.linkedin.com/in/sari-agung-0092
Eko Lestari,Teknik Elektro,2019,PT Telekomunikasi Indonesia,Embedded Systems Developer,"Jakarta, Indonesia",https://www.linkedin.com/in/eko-lestari-0093
Jasmine Kusuma,Teknologi Sains Data,2019,Traveloka,Data Engineer,"Jakarta, Indonesia",https://www.linkedin.com/in/jasmine-kusuma-0094
Joko Lestari,Teknologi Sains Data,2018,Microsoft Indonesia,Product Analyst,"Medan, Indonesia",https://www.linkedin.com/in/joko-lestari-0095
Jasmine Susanto,Teknik Nanoteknologi,2018,PT Bio Farma,Chemical Engineer,Singapore,https://www.linkedin.com/in/jasmine-susanto-0096
Miko Lestari,Teknik Industri,2024,Deloitte Indonesia,Manufacturing Supervisor,"Kuala Lumpur, Malaysia",https://www.linkedin.com/in/miko-lestari-0097
Andi Kurniawan,Teknik Elektro,2024,Samsung Electronics Indonesia,Automation Engineer,"Sydney, Australia",https://www.linkedin.com/in/andi-kurniawan-0098
Weni Dewi,Teknik Robotika dan Kecerdasan Buatan,2024,Astra Tech,ROS Developer,"Kuala Lumpur, Malaysia",https://www.linkedin.com/in/weni-dewi-0099
Oka Saputra,Teknik Nanoteknologi,2021,BPPT Indonesia,Chemical Engineer,"Medan, Indonesia",https://www.linkedin.com/in/oka-saputra-0100
Teguh Susanto,Teknik Industri,2024,PT Pertamina,Quality Engineer,"Jakarta, Indonesia",https://www.linkedin.com/in/teguh-susanto-0001
Arif Saputra,Teknik Robotika dan Kecerdasan Buatan,2024,PT Smart Manufacturing,Controls Engineer,"Surabaya, Indonesia",https://www.linkedin.com/in/arif-saputra-0002
Nina Wijaya,Teknik Nanoteknologi,2024,BATAN Indonesia,R&D Scientist,"Jakarta, Indonesia",https://www.linkedin.com/in/nina-wijaya-0003
Fitri Putra,Teknik Robotika dan Kecerdasan Buatan,2024,Gojek AI Lab,ROS Developer,Singapore,https://www.linkedin.com/in/fitri-putra-0004
Citra Agung,Teknologi Sains Data,2024,PT Teknologi Finansial,Analytics Lead,"Semarang, Indonesia",https://www.linkedin.com/in/citra-agung-0005
Lina Hakim,Teknik Nanoteknologi,2024,PT Semen Gresik,Nanotechnology Researcher,"Kuala Lumpur, Malaysia",https://www.linkedin.com/in/lina-hakim-0006
Xena Wibowo,Teknik Elektro,2024,PT Paiton Energy,Power Systems Engineer,"Bandung, Indonesia",https://www.linkedin.com/in/xena-wibowo-0007
Wahyu Wibowo,Teknik Nanoteknologi,2024,Bandung Institute of Technology,Materials Scientist,"Kuala Lumpur, Malaysia",https://www.linkedin.com/in/wahyu-wibowo-0008
Fitri Purnomo,Teknik Elektro,2024,Siemens Indonesia,Automation Engineer,"Sydney, Australia",https://www.linkedin.com/in/fitri-purnomo-0009
Andi Anggraeni,Teknik Robotika dan Kecerdasan Buatan,2024,ITS Robotics Lab,Robotics Engineer,"Yogyakarta, Indonesia",https://www.linkedin.com/in/andi-anggraeni-0010
Indra Kurniawan,Teknik Robotika dan Kecerdasan Buatan,2024,PT Smart Manufacturing,Controls Engineer,"Jakarta, Indonesia",https://www.linkedin.com/in/indra-kurniawan-0011
Nadia Saputra,Teknik Robotika dan Kecerdasan Buatan,2024,NVIDIA Indonesia,Controls Engineer,"Jakarta, Indonesia",https://www.linkedin.com/in/nadia-saputra-0012
Gita Pratama,Teknik Industri,2024,Deloitte Indonesia,Operations Manager,"Jakarta, Indonesia",https://www.linkedin.com/in/gita-pratama-0013
Kartika Nugroho,Teknik Robotika dan Kecerdasan Buatan,2024,Telkom Indonesia Digital,Simulation Engineer,"Surabaya, Indonesia",https://www.linkedin.com/in/kartika-nugroho-0014
Oka Pratama,Teknik Nanoteknologi,2024,PT Kimia Farma,Semiconductor Engineer,"Jakarta, Indonesia",https://www.linkedin.com/in/oka-pratama-0015
Teguh Hartono,Teknik Elektro,2024,PT Industri Listrik,Field Service Engineer,"Yogyakarta, Indonesia",https://www.linkedin.com/in/teguh-hartono-0016
Elsa Gunawan,Teknologi Sains Data,2024,Traveloka,Principal Data Scientist,"Jakarta, Indonesia",https://www.linkedin.com/in/elsa-gunawan-0017
Ivan Kusuma,Teknik Elektro,2024,Samsung Electronics Indonesia,Network Engineer,"Sydney, Australia",https://www.linkedin.com/in/ivan-kusuma-0018
Sari Santoso,Teknik Elektro,2024,PT Telekomunikasi Indonesia,Field Service Engineer,"Bandung, Indonesia",https://www.linkedin.com/in/sari-santoso-0019
Dika Gunawan,Teknik Nanoteknologi,2024,BATAN Indonesia,Chemical Engineer,"Kuala Lumpur, Malaysia",https://www.linkedin.com/in/dika-gunawan-0020
